Preset,Purity,Utility,Decay,Radius,X,Y,Z,Score,Spawn,SpawnDistance
"Phase 3: Oil & Quartz","Default","Leontief","Gaussian",700,281570.62,81685.88,-1453.51,0.5325,"Dune Desert",2946.33
"Phase 3: Oil & Quartz","Default","Leontief","Exponential",700,287539.27,95397.73,-938.84,0.4595,"Dune Desert",3090.76
"Phase 3: Oil & Quartz","Default","Leontief","Power-Law",700,386274.77,84627.08,-413.55,1.4008,"Dune Desert",3289.40
"Phase 3: Oil & Quartz","Default","Leontief","Linear",700,121542.64,194271.42,-5018.30,0.1061,"Grass Fields",2360.15
"Phase 3: Oil & Quartz","Default","Linear","Gaussian",700,328727.00,-139478.88,4064.68,34.8951,"Dune Desert",1133.39
"Phase 3: Oil & Quartz","Default","Linear","Exponential",700,329376.83,-134363.32,4675.69,25.4807,"Dune Desert",1170.86
"Phase 3: Oil & Quartz","Default","Linear","Power-Law",700,343316.45,-121416.05,5433.40,37.1503,"Dune Desert",1360.93
"Phase 3: Oil & Quartz","Default","Linear","Linear",700,344856.13,-125931.18,4967.92,10.3959,"Dune Desert",1343.96
"Phase 3: Oil & Quartz","Normal","Cobb-Douglas","Gaussian",700,81794.23,-59129.60,11286.66,5082.3842,"Northern Forest",874.26
"Phase 3: Oil & Quartz","Normal","Cobb-Douglas","Exponential",700,80509.22,-27121.99,11511.22,1127.3368,"Northern Forest",1021.54
"Phase 3: Oil & Quartz","Normal","Cobb-Douglas","Power-Law",700,172761.86,-75411.68,2652.00,58042.5452,"Dune Desert",1504.49
"Phase 3: Oil & Quartz","Normal","Cobb-Douglas","Linear",700,141948.37,223066.01,-6639.02,0.2585,"Grass Fields",2525.17
"Phase 3: Oil & Quartz","Normal","Leontief","Gaussian",700,-45738.40,-106257.30,2641.25,0.5840,"Northern Forest",485.42
"Phase 3: Oil & Quartz","Normal","Leontief","Exponential",700,67210.94,-225329.50,1228.28,0.4850,"Northern Forest",1511.01
"Phase 3: Oil & Quartz","Normal","Leontief","Power-Law",700,413697.85,48850.12,463.62,1.3278,"Dune Desert",3117.28
"Phase 3: Oil & Quartz","Normal","Leontief","Linear",700,121542.64,194271.42,-5018.30,0.1061,"Grass Fields",2360.15
